round,race,chances,stuck,stickiness,laps_stuck
1,Australian,224,144,0.6428571428571429,2.8000000000000003
2,Chinese,224,134,0.5982142857142857,2.488888888888889
3,Japanese,424,312,0.7358490566037735,3.785714285714285
4,Miami,202,131,0.6485148514851485,2.8450704225352115
5,Canadian,166,112,0.6746987951807228,3.0740740740740735
6,Monaco,278,234,0.841726618705036,6.3181818181818175
7,Barcelona,225,164,0.7288888888888889,3.6885245901639347
8,Austrian,261,190,0.7279693486590039,3.6760563380281694
9,British,181,124,0.6850828729281768,3.175438596491228
10,Belgian,208,147,0.7067307692307693,3.409836065573771
11,Hungarian,288,207,0.71875,3.5555555555555554
12,Dutch,282,191,0.6773049645390071,3.0989010989010994
13,Italian,304,183,0.6019736842105263,2.512396694214876
14,Spanish,199,166,0.8341708542713567,6.0303030303030285
15,Azerbaijan,303,232,0.7656765676567657,4.267605633802818
