round,race,driver,lap,reference_lap,in_lap,out_lap,pit_loss,pit_lane_time
1,Australian,COL,46,85.2575,102.911,90.309,22.705000000000013,18.784
1,Australian,HAM,28,83.509,99.578,89.135,21.69500000000002,17.973
1,Australian,LEC,25,83.0975,97.834,89.317,20.956000000000017,17.925
1,Australian,PER,43,87.00550000000001,105.049,93.422,24.45999999999998,19.336
1,Australian,SAI,45,85.32400000000001,116.391,91.589,37.331999999999994,34.869
1,Australian,STR,26,87.416,118.866,97.514,41.548,33.444
1,Australian,STR,39,85.919,105.889,92.972,27.022999999999996,22.841
1,Australian,VER,41,83.29050000000001,98.866,87.991,20.275999999999982,18.305
2,Chinese,HUL,35,97.762,104.913,132.21,41.59899999999999,37.225
2,Chinese,LIN,42,97.154,103.637,117.028,26.357000000000028,23.274
2,Chinese,OCO,29,98.331,104.567,118.996,26.900999999999982,25.945
2,Chinese,OCO,46,97.846,103.55,140.887,48.745000000000005,47.11
3,Japanese,ALB,45,95.036,97.604,116.651,24.182999999999993,23.013
3,Japanese,BEA,16,96.645,98.787,117.448,22.94500000000002,25.048
3,Japanese,BOT,19,99.03899999999999,101.943,120.289,24.154000000000025,25.125
3,Japanese,COL,17,96.863,99.258,116.885,22.417,23.508
3,Japanese,HAD,19,96.7245,97.735,115.961,20.246999999999986,23.551
3,Japanese,LEC,17,95.201,97.448,114.337,21.38300000000001,22.982
3,Japanese,LIN,18,96.552,99.196,118.75,24.841999999999985,26.134
3,Japanese,NOR,16,95.1535,98.222,114.481,22.395999999999987,23.49
3,Japanese,OCO,19,96.7325,98.899,116.919,22.35299999999998,24.564
3,Japanese,PIA,18,94.89500000000001,97.327,114.537,22.073999999999984,23.442
4,Miami,ALB,27,94.6165,99.764,107.798,18.329000000000008,22.828
4,Miami,ALO,41,96.451,101.789,109.347,18.23400000000001,23.302
4,Miami,ANT,26,92.79050000000001,97.884,105.601,17.903999999999996,22.05
4,Miami,BEA,26,94.5365,99.688,108.534,19.149,23.41
4,Miami,BOR,32,94.43299999999999,100.472,108.829,20.435000000000002,23.926
4,Miami,BOT,21,96.649,102.797,111.648,21.14699999999999,23.8
4,Miami,COL,31,93.8735,99.432,108.726,20.411,23.12
4,Miami,HAM,27,93.55000000000001,99.396,107.869,20.164999999999964,23.767
4,Miami,LEC,21,93.588,98.504,108.975,20.302999999999997,23.362
4,Miami,LIN,28,95.3845,100.923,109.027,19.180999999999983,22.698
4,Miami,NOR,27,92.9645,98.504,107.153,19.72800000000001,22.552
4,Miami,OCO,31,94.77449999999999,100.336,109.454,20.241000000000014,24.067
4,Miami,PER,29,96.3155,102.282,109.853,19.50399999999999,23.184
4,Miami,PIA,28,93.852,98.991,107.494,18.781000000000006,23.034
4,Miami,RUS,20,93.752,99.114,105.973,17.583,21.951999999999998
4,Miami,SAI,28,94.3215,99.86,108.534,19.751000000000005,23.698
4,Miami,STR,21,96.371,101.443,110.529,19.22999999999999,22.662
4,Miami,STR,37,95.378,101.024,109.547,19.814999999999998,22.057
5,Canadian,ALO,20,80.608,97.254,84.22,20.25799999999998,24.669
5,Canadian,BOR,2,78.9265,107.354,87.141,36.641999999999996,28.116
5,Canadian,BOT,3,81.04,107.804,86.794,32.518,28.29
5,Canadian,BOT,9,79.925,99.439,86.03,25.619,24.854
5,Canadian,HUL,2,79.5555,103.067,85.251,29.206999999999994,24.976
5,Canadian,HUL,20,77.64349999999999,100.437,82.641,27.791000000000025,30.95
5,Canadian,NOR,2,78.341,97.774,84.075,25.167,23.493
5,Canadian,NOR,15,77.0675,98.836,83.114,27.814999999999998,28.853
5,Canadian,OCO,16,78.66499999999999,98.391,85.162,26.223000000000013,24.828
5,Canadian,PER,2,79.0715,105.019,87.118,33.994,25.74
5,Canadian,PER,15,78.59,96.181,84.198,23.198999999999984,25.09
5,Canadian,SAI,2,78.16,102.459,86.386,32.525000000000006,24.616
5,Canadian,STR,14,80.739,96.211,85.811,20.543999999999983,24.25
6,Monaco,ALB,43,79.9,99.0,82.343,21.543000000000006,25.547
6,Monaco,ALO,3,79.772,99.049,83.312,22.81699999999998,25.079
6,Monaco,ANT,37,76.68700000000001,93.595,82.214,22.434999999999974,24.078
6,Monaco,BOR,43,80.137,98.02,81.76,19.506,24.703
6,Monaco,COL,35,79.7895,99.849,81.423,21.692999999999984,25.687
6,Monaco,GAS,45,78.917,97.189,83.643,22.99799999999999,25.628
6,Monaco,HAD,32,78.705,96.191,85.121,23.902000000000015,24.923000000000002
6,Monaco,HAM,28,77.3145,94.17,80.829,20.370000000000005,24.097
6,Monaco,HUL,12,77.9405,94.679,80.349,19.14700000000002,24.845
6,Monaco,LAW,44,78.44999999999999,97.323,84.98,25.40300000000002,25.781
6,Monaco,LEC,35,77.5575,96.5,83.426,24.81099999999998,25.447
6,Monaco,OCO,9,78.63499999999999,97.26,81.954,21.944000000000017,25.406
6,Monaco,PER,4,79.13,100.066,82.032,23.838000000000022,27.141
6,Monaco,PIA,48,78.4375,96.741,83.646,23.512,24.125
6,Monaco,RUS,31,78.268,95.32,80.775,19.558999999999997,24.031
6,Monaco,SAI,52,78.28,96.576,81.892,21.907999999999987,25.734
6,Monaco,STR,4,79.5725,98.509,84.018,23.381999999999977,24.859
7,Barcelona,ALB,13,85.82300000000001,90.373,106.18,24.906999999999982,23.957
7,Barcelona,ALB,29,85.34,90.544,105.271,25.13499999999999,22.067
7,Barcelona,ALO,21,86.6485,93.829,105.173,25.705000000000013,22.203
7,Barcelona,ANT,14,82.7815,87.034,100.87,22.341000000000008,21.906
7,Barcelona,ANT,37,82.688,85.693,100.095,20.412000000000006,22.251
7,Barcelona,BEA,18,85.7255,91.2,104.483,24.232,23.035
7,Barcelona,BOR,15,85.1845,89.806,104.821,24.25800000000001,22.786
7,Barcelona,BOR,33,84.887,89.825,103.826,23.87700000000001,22.245
7,Barcelona,BOR,53,83.978,88.318,105.439,25.801000000000016,25.983
7,Barcelona,BOT,14,88.0065,92.208,120.78,36.974999999999994,23.369
7,Barcelona,COL,12,85.25450000000001,89.443,104.099,23.032999999999987,23.007
7,Barcelona,COL,34,84.582,88.651,102.632,22.119000000000028,22.168
7,Barcelona,GAS,14,84.773,89.745,102.799,22.99800000000002,22.76
7,Barcelona,HAD,15,84.0435,88.08,102.237,22.230000000000018,22.406
7,Barcelona,HAD,32,83.259,87.725,101.002,22.208999999999975,22.547
7,Barcelona,HAD,58,82.987,87.778,100.329,22.13300000000001,22.016
7,Barcelona,HAM,11,82.2335,87.828,100.8,24.160999999999973,22.4
7,Barcelona,HAM,27,81.9025,87.024,99.857,23.075999999999993,22.566
7,Barcelona,HUL,13,84.989,89.911,104.738,24.670999999999992,22.833
