round,race,race_laps,driver,stint,compound,clean_laps,start_lap,race_fraction,deg_per_lap,pace_at_age5
1,Australian,58,ALB,1,MEDIUM,9,2,0.034482758620689655,-0.2718586206896557,84.9818624521073
1,Australian,58,ALB,2,HARD,17,14,0.2413793103448276,0.07523195381662551,84.12504734414662
1,Australian,58,ALB,3,SOFT,23,35,0.603448275862069,0.05338070737358317,84.21401431102629
1,Australian,58,ALO,1,SOFT,9,2,0.034482758620689655,-0.0577586206896608,85.88098467432948
1,Australian,58,ANT,1,MEDIUM,9,2,0.034482758620689655,-0.3153086206896594,83.04420134099615
1,Australian,58,ANT,2,HARD,40,15,0.25862068965517243,0.023608272352876675,81.75009455601298
1,Australian,58,BEA,1,MEDIUM,13,2,0.034482758620689655,-0.09065652005457839,84.17896019406028
1,Australian,58,BEA,2,HARD,36,20,0.3448275862068966,0.05116274918684005,83.21865344386431
1,Australian,58,BOR,1,MEDIUM,13,2,0.034482758620689655,-0.09011084345467593,84.41366561662987
1,Australian,58,BOR,2,HARD,13,20,0.3448275862068966,-0.020895983327018627,83.36342535051156
1,Australian,58,BOR,3,HARD,23,35,0.603448275862069,0.08557339512061961,83.28795106991956
1,Australian,58,BOT,1,HARD,9,2,0.034482758620689655,-0.2336086206896553,86.42272356321837
1,Australian,58,COL,2,HARD,28,14,0.2413793103448276,0.054587041517963536,83.48817690359235
1,Australian,58,COL,3,SOFT,9,48,0.8275862068965517,0.14990804597700688,83.99675478927202
1,Australian,58,GAS,1,MEDIUM,9,2,0.034482758620689655,-0.11374195402299014,84.25807911877396
1,Australian,58,GAS,2,HARD,40,14,0.2413793103448276,0.042738822101487585,83.59588936388661
1,Australian,58,HAD,1,MEDIUM,9,2,0.034482758620689655,-0.019675287356324407,83.58079022988508
1,Australian,58,HAM,1,MEDIUM,20,2,0.034482758620689655,-0.01298386312810213,82.69164534061963
1,Australian,58,HAM,2,HARD,28,30,0.5172413793103449,0.014680756395996458,82.2003325917686
1,Australian,58,LAW,1,MEDIUM,9,2,0.034482758620689655,-0.22475862068965294,85.1189846743295
1,Australian,58,LAW,2,HARD,17,14,0.2413793103448276,-0.03517973828391011,84.73056224849871
1,Australian,58,LAW,3,SOFT,23,35,0.603448275862069,0.06879770342101439,83.65063486438598
1,Australian,58,LEC,1,MEDIUM,17,2,0.034482758620689655,-0.05100902133068287,82.96235673629535
1,Australian,58,LEC,2,HARD,31,27,0.46551724137931033,0.034471538812386494,82.06068837405844
1,Australian,58,LIN,1,MEDIUM,12,2,0.034482758620689655,-0.03220287156073595,83.90601177460049
1,Australian,58,LIN,2,HARD,36,20,0.3448275862068966,0.06108463571934099,83.29066367857376
1,Australian,58,NOR,1,MEDIUM,9,2,0.034482758620689655,-0.18907528735631968,84.01741245210728
1,Australian,58,NOR,2,HARD,17,14,0.2413793103448276,0.05123769991496,82.22612788042137
1,Australian,58,NOR,3,MEDIUM,23,36,0.6206896551724138,0.00040936350006847154,82.67315687610738
1,Australian,58,OCO,1,MEDIUM,9,2,0.034482758620689655,-0.17429195402298975,84.17829578544061
1,Australian,58,OCO,2,HARD,40,14,0.2413793103448276,0.03459078983893779,83.82764162365577
1,Australian,58,PER,1,MEDIUM,13,2,0.034482758620689655,0.11466492596398235,85.74292990583356
1,Australian,58,PER,2,HARD,21,20,0.3448275862068966,0.05621625867452307,86.66498719580028
1,Australian,58,PER,3,SOFT,11,45,0.7758620689655172,0.23145047021943485,86.20125893416927
1,Australian,58,RUS,1,MEDIUM,10,2,0.034482758620689655,-0.06433437826541318,83.00277053291538
1,Australian,58,RUS,2,HARD,40,15,0.25862068965517243,0.03790286190128756,81.51949499918992
1,Australian,58,SAI,1,SOFT,9,2,0.034482758620689655,-0.2842919540229908,85.10674022988506
1,Australian,58,SAI,2,HARD,17,14,0.2413793103448276,0.18560067015414858,83.29945093790629
1,Australian,58,SAI,3,MEDIUM,10,35,0.603448275862069,0.08245350052246732,85.03555423197493
1,Australian,58,SAI,4,SOFT,10,47,0.8103448275862069,-0.5453464994775294,86.27865078369909
1,Australian,58,STR,1,MEDIUM,9,2,0.034482758620689655,-0.08322528735632354,86.2728957854406
1,Australian,58,STR,2,HARD,9,14,0.2413793103448276,0.13703683385579704,85.63756913967258
1,Australian,58,VER,1,HARD,12,2,0.034482758620689655,-0.10580391685690052,83.86836543313707
1,Australian,58,VER,2,MEDIUM,20,20,0.3448275862068966,0.07289167139743856,82.15132973794567
1,Australian,58,VER,3,HARD,16,43,0.7413793103448276,0.10959137931034696,82.09252844827584
2,Chinese,56,ALO,1,HARD,22,2,0.03571428571428571,-0.0420312727792461,99.68491462159653
2,Chinese,56,ANT,1,MEDIUM,8,2,0.03571428571428571,-0.08532142857143012,95.6584285714286
2,Chinese,56,ANT,2,HARD,39,14,0.25,-0.0014937466934057287,95.45927291853782
2,Chinese,56,BEA,1,MEDIUM,8,2,0.03571428571428571,-0.10240476190475979,97.68009523809526
2,Chinese,56,BEA,2,HARD,39,14,0.25,-0.007754981729148535,96.89698710336258
2,Chinese,56,BOT,1,MEDIUM,8,2,0.03571428571428571,-0.030761904761907558,99.25377380952382
2,Chinese,56,BOT,2,HARD,37,14,0.25,0.013442510446109742,98.63012012693937
2,Chinese,56,COL,1,HARD,23,2,0.03571428571428571,0.01366545643832635,97.16361621793277
2,Chinese,56,COL,2,MEDIUM,21,34,0.6071428571428571,0.1277416670781689,96.19835543923759
2,Chinese,56,GAS,1,MEDIUM,8,2,0.03571428571428571,-0.021642857142853907,96.68796428571433
2,Chinese,56,GAS,2,HARD,38,14,0.25,-0.03084339882975181,97.43575316707972
2,Chinese,56,HAD,3,HARD,38,14,0.25,-0.0002280796954244174,97.35662966557182
2,Chinese,56,HAM,1,MEDIUM,8,2,0.03571428571428571,-0.09634523809523839,96.4129404761905
2,Chinese,56,HAM,2,HARD,39,14,0.25,0.0030751448749342207,95.98785531454163
2,Chinese,56,HUL,1,HARD,24,2,0.03571428571428571,-0.021286757020546675,97.81642991808843
2,Chinese,56,HUL,2,MEDIUM,18,37,0.6607142857142857,0.10371177944861991,96.32250626566412
2,Chinese,56,LAW,2,HARD,37,14,0.25,-0.019047848007699302,97.6699792785317
2,Chinese,56,LEC,1,MEDIUM,8,2,0.03571428571428571,-0.06876190476190716,96.26877380952386
2,Chinese,56,LEC,2,HARD,39,14,0.25,0.007445479040810705,95.98685984472854
2,Chinese,56,LIN,1,HARD,32,2,0.03571428571428571,-0.0017570510062297953,97.83625152047932
2,Chinese,56,LIN,2,MEDIUM,11,44,0.7857142857142857,0.17322963951935955,95.93081575433908
2,Chinese,56,OCO,1,HARD,20,2,0.03571428571428571,0.014191377461380146,97.28704161818054
2,Chinese,56,OCO,2,MEDIUM,14,31,0.5535714285714286,0.13588087850090705,96.84400882530724
2,Chinese,56,PER,1,MEDIUM,8,2,0.03571428571428571,0.08536904761905303,99.07958333333337
2,Chinese,56,PER,2,HARD,37,14,0.25,0.04166148968432731,98.59238763038184
2,Chinese,56,RUS,1,MEDIUM,8,2,0.03571428571428571,-0.07107142857142659,95.59267857142862
2,Chinese,56,RUS,2,HARD,39,14,0.25,-0.020417775631482595,96.01394304169693
2,Chinese,56,SAI,2,HARD,37,14,0.25,0.007876925619540833,97.75187811660217
2,Chinese,56,STR,1,HARD,8,2,0.03571428571428571,-0.10980952380952357,99.41429761904766
2,Chinese,56,VER,2,HARD,27,14,0.25,-0.031811006199377184,97.30531610287379
3,Japanese,53,ALB,1,MEDIUM,19,2,0.03773584905660377,-0.005999668983782954,95.45366832174776
3,Japanese,53,ALB,2,HARD,17,28,0.5283018867924528,-0.04719136145024369,95.30477441731416
3,Japanese,53,ALO,1,MEDIUM,19,2,0.03773584905660377,0.03130559417411305,96.57025779543196
3,Japanese,53,ALO,3,MEDIUM,25,28,0.5283018867924528,0.03144779390421047,96.50397515239463
3,Japanese,53,ANT,1,MEDIUM,20,2,0.03773584905660377,-0.003974606327136545,93.34251418640943
3,Japanese,53,ANT,2,HARD,26,28,0.5283018867924528,0.04071813578455315,91.94429428156745
3,Japanese,53,BEA,1,MEDIUM,14,2,0.03773584905660377,0.03515471698112925,94.93237358490565
3,Japanese,53,BOR,1,MEDIUM,19,2,0.03773584905660377,0.0009617345249906354,95.0835841112214
3,Japanese,53,BOR,2,HARD,26,28,0.5283018867924528,-0.010278787292371768,94.73682966618287
3,Japanese,53,BOT,1,HARD,17,2,0.03773584905660377,0.12430618756936518,96.6194868201998
3,Japanese,53,BOT,2,MEDIUM,25,28,0.5283018867924528,0.09791702467344128,95.42591628447018
3,Japanese,53,COL,1,MEDIUM,15,2,0.03773584905660377,0.03991185983827438,94.84781168014374
3,Japanese,53,COL,2,HARD,28,19,0.3584905660377358,-0.0088180262265806,94.90348326525887
3,Japanese,53,GAS,1,MEDIUM,20,2,0.03773584905660377,0.03986298765782609,93.84596982550717
3,Japanese,53,GAS,2,HARD,26,28,0.5283018867924528,0.02635129817771482,93.24951582002902
3,Japanese,53,HAD,1,MEDIUM,17,2,0.03773584905660377,0.030693442471328262,94.93543289863112
3,Japanese,53,HAD,2,HARD,26,28,0.5283018867924528,0.0023547169811335865,94.38471320754716
3,Japanese,53,HAM,1,MEDIUM,20,2,0.03773584905660377,0.009526897432263037,93.54380441197331
3,Japanese,53,HAM,2,HARD,26,28,0.5283018867924528,0.06660155458797162,92.49213735849055
3,Japanese,53,HUL,1,MEDIUM,19,2,0.03773584905660377,-0.04868563389606381,95.23888937437934
3,Japanese,53,HUL,2,HARD,26,28,0.5283018867924528,-0.03507605224963806,94.72913207547165
3,Japanese,53,LAW,1,MEDIUM,18,2,0.03773584905660377,0.03346925756989009,94.82543876480456
3,Japanese,53,LAW,2,HARD,26,28,0.5283018867924528,0.014440528946946312,94.08119582002901
3,Japanese,53,LEC,1,MEDIUM,15,2,0.03773584905660377,0.04443685983827477,93.40297834681041
3,Japanese,53,LEC,2,HARD,29,19,0.3584905660377358,0.004329148874819263,92.9247811822228
3,Japanese,53,LIN,1,MEDIUM,16,2,0.03773584905660377,0.06951059933407654,94.7037471143174
3,Japanese,53,LIN,2,HARD,27,20,0.37735849056603776,-0.00597031971502463,94.63738503081281
3,Japanese,53,NOR,1,MEDIUM,14,2,0.03773584905660377,0.04124482687124376,93.43341534314739
3,Japanese,53,NOR,2,HARD,30,18,0.33962264150943394,0.022005459563648716,92.87869498880909
3,Japanese,53,OCO,1,MEDIUM,17,2,0.03773584905660377,0.07973265815759956,94.36247211431744
3,Japanese,53,OCO,2,HARD,26,28,0.5283018867924528,0.018315400741815785,93.97324654088052
3,Japanese,53,PER,1,MEDIUM,19,2,0.03773584905660377,0.06092313803376272,96.00823674280039
3,Japanese,53,PER,2,HARD,26,28,0.5283018867924528,0.01212258022899451,95.5532886244154
3,Japanese,53,PIA,1,MEDIUM,16,2,0.03773584905660377,0.030063540510549554,93.17300887902326
3,Japanese,53,PIA,2,HARD,28,20,0.37735849056603776,0.012170363636140194,92.79674988361054
3,Japanese,53,RUS,1,MEDIUM,19,2,0.03773584905660377,0.050779278384639116,92.97683674280037
3,Japanese,53,RUS,2,HARD,26,28,0.5283018867924528,0.001468905015320046,93.02530537655215
3,Japanese,53,SAI,1,MEDIUM,19,2,0.03773584905660377,-0.009261072492553727,95.40502621648457
3,Japanese,53,SAI,2,HARD,26,28,0.5283018867924528,-0.0030709240445067577,94.77217735849055
3,Japanese,53,STR,1,MEDIUM,19,2,0.03773584905660377,0.04849331347235917,96.3798156901688
3,Japanese,53,VER,1,MEDIUM,20,2,0.03773584905660377,0.0021043410412836354,94.18195102851467
3,Japanese,53,VER,2,HARD,26,28,0.5283018867924528,0.01953181099822889,93.35038658925977
4,Miami,57,ALB,1,MEDIUM,17,2,0.03508771929824561,0.04654845047150761,93.01711093535904
4,Miami,57,ALB,2,HARD,27,29,0.5087719298245614,0.04560638325005134,93.21721450508718
4,Miami,57,ALO,1,MEDIUM,31,2,0.03508771929824561,0.03906057234850923,94.4715272179106
4,Miami,57,ALO,2,SOFT,12,43,0.7543859649122807,0.05410773323199593,95.01961457343714
4,Miami,57,ANT,1,MEDIUM,16,2,0.03508771929824561,0.0260314318603328,91.26937921276456
4,Miami,57,ANT,2,HARD,28,28,0.49122807017543857,0.038111777490180715,91.37814590368673
4,Miami,57,BEA,1,MEDIUM,16,2,0.03508771929824561,0.023790848628255534,93.45521548250942
4,Miami,57,BEA,2,HARD,27,28,0.49122807017543857,0.07816504334761383,93.01565738993742
