race,driver,stint,compound,clean_laps,start_lap,deg_per_lap,pace_at_age5,median_gap
Australian,ALB,2,HARD,14,14,0.06842826413255605,84.05480565077306,3.1494999999999997
Australian,ALB,3,SOFT,23,35,0.048766188582234915,84.03866259695508,27.33
Australian,ANT,2,HARD,39,16,0.018920876358606828,81.67365428888057,6.252
Australian,BEA,2,HARD,18,40,0.04717484813509655,83.08627744105974,17.226
Australian,BOR,2,HARD,13,20,-0.02551050211836469,83.25729141831054,4.871
Australian,BOR,3,HARD,17,35,0.11202289896250328,82.8194823265386,4.568
Australian,COL,2,HARD,27,14,0.046924572461861165,83.50428494404454,13.173
Australian,COL,3,SOFT,9,48,0.14529352718566055,83.76141433091331,40.209
Australian,GAS,2,HARD,35,14,0.040907209577528275,83.37924953753385,7.237
Australian,HAD,1,MEDIUM,8,2,-0.024289806147662723,83.51005096926163,3.5084999999999997
Australian,HAM,1,MEDIUM,12,2,0.004071723146019474,82.27018410814009,1.8035
Australian,HAM,2,HARD,26,30,0.008301497285414619,82.05878342442824,4.7785
Australian,LAW,2,HARD,16,14,-0.03119931763790465,84.56094082969395,11.8
Australian,LAW,3,SOFT,13,37,-0.036472040579898765,83.64877674367793,6.29
Australian,LEC,1,MEDIUM,16,3,-0.041859889380318455,82.77200284870852,999.0
Australian,LEC,2,HARD,31,27,0.029857020021038485,81.92225281031801,9.417
Australian,LIN,1,MEDIUM,10,4,-0.010807422339574093,83.69987543203025,2.1125
Australian,LIN,2,HARD,34,20,0.05532122723979841,83.095914925402,6.0525
Australian,NOR,2,HARD,17,14,0.04662318112361249,82.15229557975982,7.707
Australian,NOR,3,MEDIUM,19,39,-0.0018646251456407247,82.4549422605015,34.49
Australian,OCO,2,HARD,8,14,0.06374758590759601,83.78327925016927,5.654999999999999
Australian,PER,1,MEDIUM,11,3,0.06222870460952579,85.54432709387746,3.471
Australian,PER,2,HARD,21,20,0.05160173988317247,86.55885326359935,32.787
Australian,PER,3,SOFT,11,45,0.2268359514280897,85.97976203218457,44.946
Australian,RUS,2,HARD,38,15,0.03364163848770435,81.42883929138968,999.0
Australian,SAI,2,HARD,12,16,0.1796375939715929,83.1164501618639,4.202
Australian,SAI,4,SOFT,10,47,-0.5499610182688767,86.04792484413164,27.521
Australian,STR,2,HARD,9,14,0.13242231506444968,85.563736839011,11.525
Australian,VER,2,MEDIUM,19,20,0.06773851513405224,82.04251945080553,4.566
Chinese,ALO,1,HARD,13,4,-0.003918335544853011,99.24507666488661,2.094
Chinese,ANT,1,MEDIUM,8,2,-0.06778506591450319,95.74611038471325,999.0
Chinese,ANT,2,HARD,39,14,0.016042615963520912,95.72231835839176,999.0
Chinese,BEA,2,HARD,34,20,0.02139605389639901,96.83301623882505,19.285
Chinese,BOT,2,HARD,33,15,0.035582331018417186,98.72941114424101,7.483
Chinese,COL,1,HARD,14,2,0.023265159996195623,97.12080647206535,3.3739999999999997
Chinese,COL,2,MEDIUM,16,34,0.1296974971107107,96.89902209897855,4.321
Chinese,GAS,1,MEDIUM,8,2,-0.0041064944859298515,96.77564609899895,3.235
