round,race,race_laps,driver,stint,compound,clean_laps,start_lap,race_fraction,deg_old,deg_per_lap,pace_at_age5
1,Australian,58,ALB,1,MEDIUM,9,2,0.034482758620689655,-0.2718586206896557,-0.26531201602308685,85.01459547544012
1,Australian,58,ALB,2,HARD,17,14,0.2413793103448276,0.07523195381662551,0.08177855848319299,84.23633962347826
1,Australian,58,ALB,3,SOFT,23,35,0.603448275862069,0.05338070737358317,0.05992731204015078,84.46278528835587
1,Australian,58,ALO,1,SOFT,9,2,0.034482758620689655,-0.0577586206896608,-0.0512120160230888,85.91371769766236
1,Australian,58,ANT,1,MEDIUM,9,2,0.034482758620689655,-0.3153086206896594,-0.3087620160230924,83.07693436432899
1,Australian,58,ANT,2,HARD,40,15,0.25862068965517243,0.023608272352876675,0.030154877019444914,81.8613868353446
1,Australian,58,BEA,1,MEDIUM,13,2,0.034482758620689655,-0.09065652005457839,-0.08410991538801171,84.21169321739309
1,Australian,58,BEA,2,HARD,36,20,0.3448275862068966,0.05116274918684005,0.05770935385340763,83.3692253511954
1,Australian,58,BOR,1,MEDIUM,13,2,0.034482758620689655,-0.09011084345467593,-0.08356423878810706,84.44639863996271
1,Australian,58,BOR,2,HARD,13,20,0.3448275862068966,-0.020895983327018627,-0.01434937866045085,83.51399725784262
1,Australian,58,BOR,3,HARD,23,35,0.603448275862069,0.08557339512061961,0.0921199997871876,83.53672204724914
1,Australian,58,BOT,1,HARD,9,2,0.034482758620689655,-0.2336086206896553,-0.2270620160230916,86.45545658655124
1,Australian,58,COL,2,HARD,28,14,0.2413793103448276,0.054587041517963536,0.06113364618453058,83.5209099269252
1,Australian,58,COL,3,SOFT,9,48,0.8275862068965517,0.14990804597700688,0.15645465064357375,84.33063162726697
1,Australian,58,GAS,1,MEDIUM,9,2,0.034482758620689655,-0.11374195402299014,-0.10719534935642498,84.2908121421068
1,Australian,58,GAS,2,HARD,40,14,0.2413793103448276,0.042738822101487585,0.049285426768055814,83.70063503855171
1,Australian,58,HAD,1,MEDIUM,9,2,0.034482758620689655,-0.019675287356324407,-0.013128682689758824,83.61352325321792
1,Australian,58,HAM,1,MEDIUM,20,2,0.034482758620689655,-0.01298386312810213,-0.006437258461533808,82.72437836395247
1,Australian,58,HAM,2,HARD,28,30,0.5172413793103449,0.014680756395996458,0.021227361062562986,82.41637054576536
1,Australian,58,LAW,1,MEDIUM,9,2,0.034482758620689655,-0.22475862068965294,-0.21821201602308926,85.15171769766235
1,Australian,58,LAW,2,HARD,17,14,0.2413793103448276,-0.03517973828391011,-0.02863313361734252,84.83530792316381
1,Australian,58,LAW,3,SOFT,23,35,0.603448275862069,0.06879770342101439,0.07534430808758305,83.89940584171553
1,Australian,58,LEC,1,MEDIUM,17,2,0.034482758620689655,-0.05100902133068287,-0.044462416664115004,82.99508975962819
1,Australian,58,LEC,2,HARD,31,27,0.46551724137931033,0.034471538812386494,0.04101814347895515,82.25708651405547
1,Australian,58,LIN,1,MEDIUM,12,2,0.034482758620689655,-0.03220287156073595,-0.025656266894168753,83.93874479793332
1,Australian,58,LIN,2,HARD,36,20,0.3448275862068966,0.06108463571934099,0.0676312403859074,83.44123558590483
1,Australian,58,NOR,1,MEDIUM,9,2,0.034482758620689655,-0.18907528735631968,-0.1825286826897526,84.05014547544012
1,Australian,58,NOR,2,HARD,17,14,0.2413793103448276,0.05123769991496,0.057784304581528646,82.33087355508644
1,Australian,58,NOR,3,MEDIUM,23,36,0.6206896551724138,0.00040936350006847154,0.006955968166634143,82.92847445810352
1,Australian,58,OCO,1,MEDIUM,9,2,0.034482758620689655,-0.17429195402298975,-0.16774534935642355,84.21102880877348
1,Australian,58,OCO,2,HARD,40,14,0.2413793103448276,0.03459078983893779,0.041137394505505166,83.93238729832085
1,Australian,58,PER,1,MEDIUM,13,2,0.034482758620689655,0.11466492596398235,0.1212115306305513,85.77566292916644
1,Australian,58,PER,2,HARD,21,20,0.3448275862068966,0.05621625867452307,0.06276286334109049,86.81555910313136
1,Australian,58,PER,3,SOFT,11,45,0.7758620689655172,0.23145047021943485,0.23799707488600258,86.5154959581645
1,Australian,58,RUS,1,MEDIUM,10,2,0.034482758620689655,-0.06433437826541318,-0.05778777359884292,83.03550355624819
1,Australian,58,RUS,2,HARD,40,15,0.25862068965517243,0.03790286190128756,0.04444946656785524,81.63078727852155
1,Australian,58,SAI,1,SOFT,9,2,0.034482758620689655,-0.2842919540229908,-0.27774534935642375,85.1394732532179
1,Australian,58,SAI,2,HARD,17,14,0.2413793103448276,0.18560067015414858,0.19214727482071833,83.40419661257135
1,Australian,58,SAI,3,MEDIUM,10,35,0.603448275862069,0.08245350052246732,0.0890001051890364,85.28432520930448
1,Australian,58,SAI,4,SOFT,10,47,0.8103448275862069,-0.5453464994775294,-0.5387998948109654,86.60598101702745
1,Australian,58,STR,1,MEDIUM,9,2,0.034482758620689655,-0.08322528735632354,-0.07667868268975649,86.30562880877343
1,Australian,58,STR,2,HARD,9,14,0.2413793103448276,0.13703683385579704,0.14358343852236466,85.74231481433767
1,Australian,58,VER,1,HARD,12,2,0.034482758620689655,-0.10580391685690052,-0.09925731219033189,83.90109845646991
1,Australian,58,VER,2,MEDIUM,20,20,0.3448275862068966,0.07289167139743856,0.07943827606400708,82.30190164527673
1,Australian,58,VER,3,HARD,16,43,0.7413793103448276,0.10959137931034696,0.11613798397691404,82.39367226293795
2,Chinese,56,ALO,1,HARD,22,2,0.03571428571428571,-0.0420312727792461,-0.021415558613554164,99.78799319242499
2,Chinese,56,ANT,1,MEDIUM,8,2,0.03571428571428571,-0.08532142857143012,-0.06470571440573593,95.76150714225707
2,Chinese,56,ANT,2,HARD,39,14,0.25,-0.0014937466934057287,0.01912196747228583,95.76850863102321
2,Chinese,56,BEA,1,MEDIUM,8,2,0.03571428571428571,-0.10240476190475979,-0.08178904773907085,97.7831738089237
2,Chinese,56,BEA,2,HARD,39,14,0.25,-0.007754981729148535,0.012860732436544455,97.20622281584797
2,Chinese,56,BOT,1,MEDIUM,8,2,0.03571428571428571,-0.030761904761907558,-0.010146190596211671,99.35685238035231
2,Chinese,56,BOT,2,HARD,37,14,0.25,0.013442510446109742,0.03405822461180272,98.93935583942475
2,Chinese,56,COL,1,HARD,23,2,0.03571428571428571,0.01366545643832635,0.034281170604019064,97.26669478876123
2,Chinese,56,COL,2,MEDIUM,21,34,0.6071428571428571,0.1277416670781689,0.1483573812438597,96.96113686336821
2,Chinese,56,GAS,1,MEDIUM,8,2,0.03571428571428571,-0.021642857142853907,-0.0010271429771637846,96.79104285654277
2,Chinese,56,GAS,2,HARD,38,14,0.25,-0.03084339882975181,-0.010227684664059837,97.74498887956511
2,Chinese,56,HAD,3,HARD,38,14,0.25,-0.0002280796954244174,0.02038763447026869,97.66586537805718
2,Chinese,56,HAM,1,MEDIUM,8,2,0.03571428571428571,-0.09634523809523839,-0.07572952392954925,96.51601904701899
2,Chinese,56,HAM,2,HARD,39,14,0.25,0.0030751448749342207,0.023690859040626466,96.29709102702707
2,Chinese,56,HUL,1,HARD,24,2,0.03571428571428571,-0.021286757020546675,-0.0006710428548546018,97.9195084889169
2,Chinese,56,HUL,2,MEDIUM,18,37,0.6607142857142857,0.10371177944861991,0.12432749361431335,97.14713483229183
2,Chinese,56,LAW,2,HARD,37,14,0.25,-0.019047848007699302,0.0015678661579929143,97.95859927685134
2,Chinese,56,LEC,1,MEDIUM,8,2,0.03571428571428571,-0.06876190476190716,-0.04814619059621318,96.3718523803523
2,Chinese,56,LEC,2,HARD,39,14,0.25,0.007445479040810705,0.02806119320650356,96.2960955572139
2,Chinese,56,LIN,1,HARD,32,2,0.03571428571428571,-0.0017570510062297953,0.018858663159464113,97.93933009130778
2,Chinese,56,LIN,2,MEDIUM,11,44,0.7857142857142857,0.17322963951935955,0.19384535368505093,96.89975432012663
2,Chinese,56,OCO,1,HARD,20,2,0.03571428571428571,0.014191377461380146,0.03480709162707406,97.39012018900898
2,Chinese,56,OCO,2,MEDIUM,14,31,0.5535714285714286,0.13588087850090705,0.15649659266659705,97.54494310694079
2,Chinese,56,PER,1,MEDIUM,8,2,0.03571428571428571,0.08536904761905303,0.10598476178474366,99.1826619041618
2,Chinese,56,PER,2,HARD,37,14,0.25,0.04166148968432731,0.06227720385002042,98.9222390570329
2,Chinese,56,RUS,1,MEDIUM,8,2,0.03571428571428571,-0.07107142857142659,-0.05045571440573428,95.69575714225705
2,Chinese,56,RUS,2,HARD,39,14,0.25,-0.020417775631482595,0.0001979385342104532,96.32317875418227
2,Chinese,56,SAI,2,HARD,37,14,0.25,0.007876925619540833,0.02849263978523333,98.04049811492186
2,Chinese,56,STR,1,HARD,8,2,0.03571428571428571,-0.10980952380952357,-0.08919380964383226,99.51737618987612
2,Chinese,56,VER,2,HARD,27,14,0.25,-0.031811006199377184,-0.01119529203368607,97.59393610119349
3,Japanese,53,ALB,1,MEDIUM,19,2,0.03773584905660377,-0.005999668983782954,0.014793680028022727,95.55763506680678
3,Japanese,53,ALB,2,HARD,17,28,0.5283018867924528,-0.04719136145024369,-0.026398012438437667,95.86619484063283
3,Japanese,53,ALO,1,MEDIUM,19,2,0.03773584905660377,0.03130559417411305,0.05209894318591882,96.67422454049097
